Ano,Município,Grau Instrução,Salário,SaldoMov
2007,330045,06,3048,101
2007,330045,07,225869,673
2007,330045,08,-13820,6
2007,330045,09,-74856,-8
2007,330070,01,3965,32
2007,330070,02,1008,157
2007,330070,03,-51028,11
2007,330070,04,26763,235
2007,330070,05,55178,323
2007,330070,06,-7488,95
2007,330070,07,97287,724
2007,330070,08,7918,56
2007,330070,09,130355,161
2007,330100,01,-127095,-94
2007,330100,02,-304820,-158
2007,330100,03,-476319,-609
2007,330100,04,-735057,-807
2007,330100,05,-711058,-257
2007,330100,06,-218623,-180
2007,330100,07,-630489,-69
2007,330100,08,-236395,-187
2007,330100,09,-626200,-229
2007,330170,01,20724,51
2007,330170,02,-14563,41
2007,330170,03,-147565,80
2007,330170,04,47303,1041
2007,330170,05,-885121,722
2007,330170,06,-143519,1109
2007,330170,07,2707230,5073
2007,330170,08,425552,493
2007,330170,09,631058,783
2007,330200,01,2693,3
2007,330200,02,24788,52
2007,330200,03,51886,68
2007,330200,04,108319,204
2007,330200,05,-16104,46
2007,330200,06,37618,93
2007,330200,07,133165,643
2007,330200,08,-108971,-23
2007,330200,09,487446,43
2007,330240,01,-1603,7
2007,330240,02,-43914,-16
2007,330240,03,-154697,-163
2007,330240,04,-393359,-47
2007,330240,05,-902047,238
2007,330240,06,-299106,228
2007,330240,07,1052959,4920
2007,330240,08,41402,178
2007,330240,09,3529166,1451
2007,330270,01,-1864,-1
2007,330270,02,4327,28
2007,330270,03,-24147,-24
2007,330270,04,25803,82
2007,330270,05,62092,146
2007,330270,06,57831,28
2007,330270,07,146258,218
2007,330270,08,4004,13
2007,330270,09,7348,22
2007,330330,01,-2649,8
2007,330330,02,-99470,48
2007,330330,03,-315151,-130
2007,330330,04,-848122,-165
2007,330330,05,-1600058,-549
2007,330330,06,-510139,267
2007,330330,07,-404060,3361
2007,330330,08,-178602,207
2007,330330,09,397257,991
2007,330340,01,1298,7
2007,330340,02,-15732,-15
2007,330340,03,-109399,-100
2007,330340,04,-164876,-152
2007,330340,05,21525,178
2007,330340,06,103563,335
2007,330340,07,153625,790
2007,330340,08,-14688,77
2007,330340,09,79894,196
2007,330350,01,-7511,-14
2007,330350,02,-69439,-81
2007,330350,03,-56106,5
2007,330350,04,109167,366
2007,330350,05,-149647,501
2007,330350,06,-35233,445
2007,330350,07,832164,2771
2007,330350,08,-67011,87
2007,330350,09,1196082,760
2007,330390,01,10086,24
2007,330390,02,-53250,-54
2007,330390,03,-154858,-71
2007,330390,04,-159878,-84
2007,330390,05,49232,316
2007,330390,06,121535,368
2007,330390,07,427639,1167
2007,330390,08,-26019,54
2007,330390,09,-94925,271
2007,330415,02,-16820,-28
2007,330415,03,-11043,-21
2007,330415,04,5861,16
2007,330415,05,-10192,-12
2007,330415,06,-7121,-14
2007,330415,07,-11247,3
2007,330415,08,-4779,-6
2007,330415,09,-26770,-14
2007,330420,01,-8655,-14
2007,330420,02,-19912,-21
2007,330420,03,38662,83
2007,330420,04,-68987,-86
2007,330420,05,74573,294
2007,330420,06,43519,298
2007,330420,07,547783,1126
2007,330420,08,-19864,59
2007,330420,09,-301021,58
2007,330452,01,12645,29
2007,330452,02,-1191,-17
2007,330452,03,-3898,36
2007,330452,04,-35935,-5
2007,330452,05,-32224,-33
2007,330452,06,34967,58
2007,330452,07,255301,356
2007,330452,08,-314,12
2007,330452,09,21583,81
2007,330455,01,16138,-28
2007,330455,02,-204791,1318
2007,330455,03,-2520765,-1821
2007,330455,04,1252805,5694
2007,330455,05,-2741460,6769
2007,330455,06,1786304,9268
