Ano,Município,Faixa Empr Início Jan,Salário,SaldoMov
2007,330240,01,2359116,2185
2007,330240,02,-58918,78
2007,330240,03,39721,2
2007,330240,04,939952,782
2007,330240,05,630749,735
2007,330240,06,726788,1269
2007,330240,07,-2356642,1262
2007,330240,08,255786,146
2007,330240,09,292249,337
2007,330270,01,335837,496
2007,330270,02,6741,59
2007,330270,03,29419,-16
2007,330270,04,-75797,-52
2007,330270,05,-18314,0
2007,330270,06,-6154,-10
2007,330270,07,-20664,5
2007,330270,08,30584,30
2007,330330,01,2375176,4455
2007,330330,02,-233832,1
2007,330330,03,-773864,-178
2007,330330,04,-823297,-346
2007,330330,05,-430497,114
2007,330330,06,-1059570,60
2007,330330,07,-385494,56
2007,330330,08,-1481672,-704
2007,330330,09,-747944,580
2007,330340,01,682425,1546
2007,330340,02,-120671,-145
2007,330340,03,-163139,-149
2007,330340,04,-67079,2
2007,330340,05,-50878,52
2007,330340,06,-67224,61
2007,330340,07,-18505,63
2007,330340,08,-112340,-58
2007,330340,09,-27379,-56
2007,330350,01,2279163,2808
2007,330350,02,-63045,94
2007,330350,03,-28895,205
2007,330350,04,-345576,-36
2007,330350,05,183363,619
2007,330350,06,-20491,391
2007,330350,07,63868,501
2007,330350,08,84461,619
2007,330350,09,-400382,-361
2007,330390,01,991903,2007
2007,330390,02,-118664,-140
2007,330390,03,-205455,33
2007,330390,04,-129638,-110
2007,330390,05,-152158,56
2007,330390,06,-55259,144
2007,330390,07,-192307,-121
2007,330390,08,-41655,80
2007,330390,09,22795,42
2007,330415,01,31948,65
2007,330415,02,1290,9
2007,330415,03,-25141,-48
2007,330415,04,-11898,-9
2007,330415,05,285,0
2007,330415,09,-77846,-91
2007,330420,01,1111204,1406
2007,330420,02,-105208,50
2007,330420,03,-109660,-26
2007,330420,04,234249,282
2007,330420,05,-64525,34
2007,330420,06,22627,424
2007,330420,07,-718390,-220
2007,330420,08,-84199,-153
2007,330452,01,502280,706
2007,330452,02,-7362,-11
2007,330452,03,62487,17
2007,330452,04,-47020,-108
2007,330452,05,41151,45
2007,330452,06,-221718,45
2007,330452,07,-78884,-177
2007,330455,01,31855365,49440
2007,330455,02,-3301605,30
2007,330455,03,-1806864,2157
2007,330455,04,-1950242,4628
2007,330455,05,-2480553,4167
2007,330455,06,-4806911,3686
2007,330455,07,-3298919,4201
2007,330455,08,-3566364,2289
2007,330455,09,5736114,13588
2007,330490,01,1146878,2274
2007,330490,02,-36181,26
2007,330490,03,-288343,-171
2007,330490,04,-42655,230
2007,330490,05,-1608,372
2007,330490,06,130668,508
2007,330490,07,-411686,284
2007,330490,08,-78068,-87
2007,330490,09,-90761,116
2007,330500,01,92169,194
2007,330500,02,-16825,-33
2007,330500,03,-30371,-29
2007,330500,04,33027,54
2007,330500,05,-17006,-33
2007,330500,06,-38983,27
2007,330500,09,-874,-16
2007,330510,01,681144,1405
2007,330510,02,-2001,64
2007,330510,03,-114500,83
2007,330510,04,-298809,-202
2007,330510,05,-146525,-21
2007,330510,06,-21123,183
2007,330510,07,110986,180
2007,330510,08,52721,131
2007,330510,09,-25532,6
2007,330580,01,287943,862
2007,330580,02,-218837,-127
2007,330580,03,-18870,-29
2007,330580,04,-160931,68
2007,330580,05,4958,83
2007,330580,06,223995,417
2007,330580,07,2143387,165
2007,330580,08,-125399,-110
2007,330580,09,263956,588
2007,330630,01,506570,1677
2007,330630,02,-418490,-212
2007,330630,03,-343789,22
2007,330630,04,-299853,25
2007,330630,05,-640537,45
2007,330630,06,-163557,-17
2007,330630,07,-173754,266
2007,330630,08,37679,115
2007,330630,09,-438806,576
2007,350160,01,997779,1528
2007,350160,02,18510,145
2007,350160,03,-161033,5
2007,350160,04,-375216,-92
2007,350160,05,65732,357
2007,350160,06,-400955,72
2007,350160,07,223382,776
2007,350160,08,-320599,-69
2007,350160,09,223852,732
2007,350280,01,188477,306
2007,350280,02,-70709,-29
2007,350280,03,-134021,-54
2007,350280,04,-199081,16
2007,350280,05,103423,210
2007,350280,06,-325335,-196
2007,350280,07,-38653,53
2007,350280,08,573131,1127
2007,350320,01,570588,904
2007,350320,02,-17020,105
2007,350320,03,2376,83
2007,350320,04,-111882,157
2007,350320,05,-78289,210
2007,350320,06,-181752,43
2007,350320,07,192731,492
2007,350320,08,532155,1229
2007,350320,09,751036,2240
2007,350330,01,739700,1096
2007,350330,02,-15278,35
2007,350330,03,95251,204
2007,350330,04,22646,186
2007,350330,05,58308,246
2007,350330,06,146484,216
2007,350330,07,-33505,42
2007,350330,08,45050,51
2007,350330,09,263198,481
2007,350410,01,648065,996
2007,350410,02,-152047,-138
2007,350410,03,271151,420
2007,350410,04,41099,158
2007,350410,05,90313,208
2007,350410,06,11941,-33
2007,350410,07,12657,208
2007,350410,09,7481,-2
2007,350570,01,3031479,3248
2007,350570,02,-383588,-20
2007,350570,03,-452660,549
2007,350570,04,776671,2153
2007,350570,05,-423504,1609
2007,350570,06,668551,2963
2007,350570,07,-508340,792
2007,350570,08,87860,582
2007,350570,09,3232332,5157
2007,350600,01,1281102,2219
2007,350600,02,-302960,-328
2007,350600,03,-152336,31
2007,350600,04,13639,268
2007,350600,05,-63237,101
2007,350600,06,34475,389
2007,350600,07,-290127,-41
2007,350600,08,-222242,326
2007,350600,09,1771255,2741
2007,350760,01,804747,1192
2007,350760,02,24305,-40
2007,350760,03,29843,32
2007,350760,04,94994,294
2007,350760,05,8395,139
2007,350760,06,-36168,-2
2007,350760,07,-133534,-45
2007,350760,08,-64899,143
2007,350760,09,-32392,-29
2007,350920,01,228623,399
2007,350920,02,38327,54
2007,350920,03,1194,37
2007,350920,04,-83332,40
2007,350920,05,13249,199
2007,350920,06,-73484,-53
2007,350920,07,-982271,-609
2007,350920,08,312205,250
2007,350920,09,-263330,-262
2007,350950,01,6198427,8903
2007,350950,02,-412545,-203
2007,350950,03,-630442,37
2007,350950,04,-896436,657
2007,350950,05,-1028598,1358
2007,350950,06,-347081,2689
2007,350950,07,133270,608
2007,350950,08,-547351,1098
2007,350950,09,687872,2125
2007,351060,01,517299,828
2007,351060,02,-14214,9
2007,351060,03,65813,171
2007,351060,04,61972,165
2007,351060,05,-10405,53
2007,351060,06,96691,301
2007,351060,07,269778,638
2007,351060,08,54495,92
2007,351060,09,166896,715
2007,351300,01,1895022,2345
2007,351300,02,-37605,94
2007,351300,03,-12413,173
2007,351300,04,88481,463
2007,351300,05,47321,512
2007,351300,06,396071,581
2007,351300,07,21220,167
2007,351300,08,79212,166
2007,351300,09,-118870,444
2007,351350,01,286761,486
2007,351350,02,19989,43
2007,351350,03,-9873,64
2007,351350,04,56462,237
2007,351350,05,-185302,-24
2007,351350,06,-380709,-60
2007,351350,07,-305903,163
2007,351350,08,-209213,71
2007,351350,09,-379275,57
2007,351380,01,785655,1339
2007,351380,02,-218820,-114
2007,351380,03,127546,298
2007,351380,04,-81127,622
2007,351380,05,509243,1075
2007,351380,06,179955,840
2007,351380,07,419743,1512
2007,351380,08,-878656,-75
2007,351380,09,33014,88
2007,351500,01,1226152,1598
2007,351500,02,-21808,8
2007,351500,03,-89042,-85
2007,351500,04,100778,65
2007,351500,05,113098,309
2007,351500,06,-73700,284
2007,351500,07,-49815,155
2007,351500,08,1013886,1690
2007,351500,09,-5651,82
2007,351620,01,1575096,3044
2007,351620,02,-237245,-62
2007,351620,03,-241664,-26
2007,351620,04,-959121,-836
2007,351620,05,-704748,-569
2007,351620,06,-545011,-434
2007,351620,07,-73944,189
2007,351620,08,-177943,207
2007,351620,09,188680,187
2007,351840,01,254823,587
2007,351840,02,-42734,-50
2007,351840,03,23508,82
2007,351840,04,-49841,-28
2007,351840,05,30024,119
2007,351840,06,-30790,422
2007,351840,07,13576,76
2007,351840,08,84954,65
2007,351840,09,-1116898,-631
2007,351870,01,1190790,1770
2007,351870,02,-68759,42
2007,351870,03,-164381,-32
2007,351870,04,-376624,-55
2007,351870,05,99363,236
2007,351870,06,-476109,-451
2007,351870,07,-125954,103
2007,351870,08,-5989,36
2007,351870,09,258364,108
2007,351880,01,4787173,6983
2007,351880,02,359878,1001
2007,351880,03,-350417,614
2007,351880,04,-291872,1339
2007,351880,05,-880812,644
2007,351880,06,-1697707,1208
2007,351880,07,-163967,1582
2007,351880,08,211410,1730
2007,351880,09,383260,1049
2007,351907,01,560834,892
2007,351907,02,-32454,-2
2007,351907,03,62431,19
2007,351907,04,102953,219
2007,351907,05,612403,411
2007,351907,06,-407496,-171
2007,351907,07,-472688,-278
2007,351907,08,-495222,160
2007,351907,09,2567611,1111
2007,352050,01,1284322,1869
2007,352050,02,-38624,5
2007,352050,03,109714,137
2007,352050,04,-158774,-12
2007,352050,05,133213,402
2007,352050,06,3457510,2362
2007,352050,07,93598,85
2007,352050,08,101515,328
2007,352050,09,172710,150
2007,352250,01,354462,509
2007,352250,02,-2164,11
2007,352250,03,285,2
2007,352250,04,334484,435
2007,352250,05,11901,150
2007,352250,06,90938,196
2007,352250,07,-16868,281
2007,352310,01,393305,696
2007,352310,02,-39461,-21
2007,352310,03,-89415,-3
2007,352310,04,505627,780
2007,352310,05,-319677,-12
2007,352310,06,276408,520
2007,352310,07,-521638,-251
2007,352310,08,-22957,11
2007,352310,09,-81284,9
2007,352340,01,416849,603
2007,352340,02,-33999,-13
2007,352340,03,12695,53
2007,352340,04,-75673,50
2007,352340,05,65789,294
2007,352340,06,-129543,67
2007,352340,07,-115828,73
2007,352340,08,431,124
2007,352340,09,182478,402
2007,352390,01,806682,1165
2007,352390,02,86765,101
2007,352390,03,23827,100
2007,352390,04,217166,379
2007,352390,05,-12849,188
2007,352390,06,435667,744
2007,352390,07,281102,427
2007,352390,08,-33372,34
2007,352390,09,761883,504
2007,352440,01,854394,1469
2007,352440,02,-14354,36
2007,352440,03,-65205,-15
2007,352440,04,-296267,-277
2007,352440,05,-3567,146
2007,352440,06,-487565,-390
2007,352440,07,-312949,168
2007,352440,08,-34144,13
2007,352440,09,248065,396
2007,352470,01,207316,286
2007,352470,02,-11750,13
2007,352470,03,-72945,32
2007,352470,04,-170705,57
2007,352470,05,121557,362
2007,352470,06,211149,215
2007,352470,07,221720,162
2007,352470,08,244191,513
2007,352470,09,-2136912,1314
