Ano,Município,Raça Cor,Salário,SaldoMov
2007,320500,02,-2124623,114
2007,320500,04,-309544,356
2007,320500,06,-68670,-69
2007,320500,08,-2557024,1048
2007,320500,09,-99337,47
2007,320500,{ñ,42098,59
2007,320520,01,-94180,-14
2007,320520,02,-910436,995
2007,320520,04,180199,659
2007,320520,06,17458,78
2007,320520,08,154447,2647
2007,320520,09,-120383,-148
2007,320530,01,-131116,-24
2007,320530,02,-1979531,1641
2007,320530,04,145230,1006
2007,320530,06,-14028,109
2007,320530,08,208497,4846
2007,320530,09,149038,406
2007,320530,{ñ,9179,8
2007,330010,01,-2838,-5
2007,330010,02,-725213,458
2007,330010,04,-45647,51
2007,330010,06,5093,32
2007,330010,08,-307921,131
2007,330010,09,129248,110
2007,330010,{ñ,-350,-1
2007,330040,01,-27883,-27
2007,330040,02,-816300,275
2007,330040,04,-74201,62
2007,330040,06,-71126,-16
2007,330040,08,-279988,5
2007,330040,09,-3781,17
2007,330040,{ñ,-884,-1
2007,330045,01,7762,16
2007,330045,02,-143568,199
2007,330045,04,48085,115
2007,330045,06,5419,6
2007,330045,08,111213,254
2007,330045,09,-10371,30
2007,330070,01,-2314,2
2007,330070,02,188327,837
2007,330070,04,81182,276
2007,330070,06,12735,24
2007,330070,08,-19207,631
2007,330070,09,3235,24
2007,330100,01,-106398,-55
2007,330100,02,-2066376,-1016
2007,330100,04,-489639,-252
2007,330100,06,-281367,-408
2007,330100,08,-1146821,-869
2007,330100,09,11675,5
2007,330100,{ñ,12870,5
2007,330170,01,-35102,-15
2007,330170,02,770689,4018
2007,330170,04,696506,1535
2007,330170,06,322502,249
2007,330170,08,849481,3433
2007,330170,09,39257,180
2007,330170,{ñ,-2234,-7
2007,330200,01,2050,2
2007,330200,02,396046,398
2007,330200,04,95812,168
2007,330200,06,-1111,77
2007,330200,08,209048,437
2007,330200,09,19421,48
2007,330200,{ñ,-426,-1
2007,330240,01,-8860,22
2007,330240,02,1130286,1486
2007,330240,04,-147477,417
2007,330240,06,30309,121
2007,330240,08,-783323,3167
2007,330240,09,2621164,1591
2007,330240,{ñ,-13298,-8
2007,330270,01,-999,0
2007,330270,02,253288,415
2007,330270,04,4816,15
2007,330270,06,-184,1
2007,330270,08,-7418,52
2007,330270,09,32149,29
2007,330330,01,-85561,-62
2007,330330,02,-1162529,3313
2007,330330,04,-353931,169
2007,330330,06,-12434,47
2007,330330,08,-1890426,411
2007,330330,09,-55088,152
2007,330330,{ñ,-1025,8
2007,330340,01,-8261,-4
2007,330340,02,102564,1232
2007,330340,04,29747,128
2007,330340,06,-20,0
2007,330340,08,-66832,-34
2007,330340,09,-3932,-5
2007,330340,{ñ,1944,-1
2007,330350,01,-8730,-6
2007,330350,02,1585935,2853
2007,330350,04,26998,398
2007,330350,06,-22926,-13
2007,330350,08,364726,1752
2007,330350,09,-186800,-138
2007,330350,{ñ,-6737,-6
2007,330390,01,536,0
2007,330390,02,204263,1868
2007,330390,04,-8609,54
2007,330390,06,1117,19
2007,330390,08,-112150,-12
2007,330390,09,34405,62
2007,330415,01,-1803,-2
2007,330415,02,-27281,-5
2007,330415,04,-9158,-13
2007,330415,06,1276,3
2007,330415,08,-40909,-49
2007,330415,09,-3487,-8
2007,330420,01,-6865,2
2007,330420,02,-43542,891
2007,330420,04,91225,191
2007,330420,06,-26608,4
2007,330420,08,71374,470
2007,330420,09,194966,235
2007,330420,{ñ,5548,4
2007,330452,01,-4781,-6
2007,330452,02,95258,317
2007,330452,04,-9681,21
2007,330452,06,23879,16
2007,330452,08,73965,110
2007,330452,09,72294,59
2007,330455,01,-713666,-319
2007,330455,02,-317704,34020
2007,330455,04,4425158,12903
2007,330455,06,365659,1072
2007,330455,08,8334598,32918
2007,330455,09,3717711,3224
2007,330455,{ñ,568265,368
2007,330490,01,-241,-21
2007,330490,02,26586,1792
2007,330490,04,88526,211
2007,330490,06,-11502,-31
2007,330490,08,130122,1396
2007,330490,09,95215,206
2007,330490,{ñ,-462,-1
2007,330500,02,-72066,-12
2007,330500,04,-5342,-1
2007,330500,08,77084,136
2007,330500,09,21461,41
2007,330510,01,-18853,-5
2007,330510,02,52812,872
2007,330510,04,68690,177
2007,330510,06,3068,20
2007,330510,08,94843,650
2007,330510,09,23513,76
2007,330510,{ñ,12288,39
2007,330580,01,-7123,-7
2007,330580,02,1176352,1252
2007,330580,04,591591,220
2007,330580,06,7377,14
2007,330580,08,637920,440
2007,330580,09,-6597,-3
2007,330580,{ñ,682,1
2007,330630,01,-44244,-8
2007,330630,02,-1899190,1024
2007,330630,04,33305,601
2007,330630,06,29420,67
2007,330630,08,29847,884
2007,330630,09,-94638,-73
2007,330630,{ñ,10963,2
2007,350160,01,589,5
2007,350160,02,-422309,2171
2007,350160,04,103376,190
2007,350160,06,-1401,26
2007,350160,08,342018,639
2007,350160,09,232698,400
2007,350160,{ñ,16481,23
2007,350280,01,1662,2
2007,350280,02,24244,908
2007,350280,04,-16297,46
2007,350280,06,-22538,2
2007,350280,08,105151,433
2007,350280,09,3873,41
2007,350280,{ñ,1137,1
2007,350320,01,8692,19
2007,350320,02,823168,3497
2007,350320,04,199712,502
2007,350320,06,70857,112
2007,350320,08,471846,1147
2007,350320,09,79727,175
2007,350320,{ñ,5941,11
2007,350330,01,-1212,0
2007,350330,02,802458,1580
2007,350330,04,135888,255
2007,350330,06,-1125,10
2007,350330,08,296715,565
2007,350330,09,86666,142
2007,350330,{ñ,2464,5
2007,350410,01,-74584,-112
2007,350410,02,752756,1385
2007,350410,04,42131,104
2007,350410,06,-32663,5
2007,350410,08,238834,449
2007,350410,09,9022,-7
2007,350410,{ñ,-4836,-7
2007,350570,01,-38323,74
2007,350570,02,1309598,10494
2007,350570,04,123121,577
2007,350570,06,-28749,99
2007,350570,08,2713129,4057
2007,350570,09,1886586,1712
2007,350570,{ñ,63439,20
2007,350600,01,26998,24
2007,350600,02,912633,3739
2007,350600,04,493937,813
2007,350600,06,-33803,-10
2007,350600,08,353624,749
2007,350600,09,316777,393
2007,350600,{ñ,-597,-2
2007,350760,01,-3044,-3
2007,350760,02,473297,1251
2007,350760,04,65297,88
2007,350760,06,-19743,-15
2007,350760,08,184422,280
2007,350760,09,46523,105
2007,350760,{ñ,-51461,-22
2007,350920,01,-23466,-41
2007,350920,02,-780714,170
2007,350920,04,-147,57
2007,350920,06,-23188,-29
2007,350920,08,-75365,-2
2007,350920,09,50300,-141
2007,350920,{ñ,43761,41
2007,350950,01,28510,37
